"Property Address","Mailing City","Mailing State","Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"14 LIMERICK STREET",STAMFORD,CT,41.047125,-73.519979,1,rooftop,"14 Limerick St",,"Stamford, CT 06902",14,"Limerick St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnuuaevfvkv7uh7lxzczpnr6lft7,building_centroid
"105 COVE ROAD",STAMFORD,CT,41.048896,-73.522401,1,rooftop,"105 Cove Rd",,"Stamford, CT 06902",105,"Cove Rd",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnj2vkuspefctve3pmsr92rh5vs6,building_centroid
"461 TACONIC ROAD",STAMFORD,CT,41.142421,-73.632537,0.84,rooftop,"461 Taconic Rd",,"Greenwich, CT 06831",461,"Taconic Rd",,,Greenwich,CT,"Western Connecticut Planning Region",06831,US,"City of Stamford",gcod_usnlqs9r3h2aaar8fz2q2cfr7xj5e,building_centroid
"734 PACIFIC STREET ",STAMFORD,CT,41.041879,-73.538106,1,rooftop,"734 Pacific St",,"Stamford, CT 06902",734,"Pacific St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usn7hs5zmzbpne5epxz22kr6puyb8,building_centroid
"1037 HIGH RIDGE ROAD ",STAMFORD,CT,41.106653,-73.547591,1,rooftop,"1037 High Ridge Rd",,"Stamford, CT 06905",1037,"High Ridge Rd",,,Stamford,CT,"Western Connecticut Planning Region",06905,US,"City of Stamford",gcod_usnyvscp4ey3fbqaw9lwgflw95my4,building_centroid
"106 TURN OF RIVER ROAD",STAMFORD,CT,41.106395,-73.546622,1,rooftop,"106 Turn of River Rd",,"Stamford, CT 06905",106,"Turn of River Rd",,,Stamford,CT,"Western Connecticut Planning Region",06905,US,"City of Stamford",gcod_usnj4ayc3fn7wv235hahtegqx3kq5,building_centroid
"616 HOPE STREET #B",STAMFORD,CT,41.0807,-73.522194,1,rooftop,"616 Hope St","Apt B","Stamford, CT 06907",616,"Hope St",Apt,B,Stamford,CT,"Western Connecticut Planning Region",06907,US,"City of Stamford",gcod_usnfkq23mubsxdk3xq9vk5up8gaa9-vsvuag2sxp5pf,building_centroid
"0 TACONIC ROAD",STAMFORD,CT,41.090459,-73.622249,0.84,street_center,"Taconic Rd",,"Greenwich, CT 06831",,"Taconic Rd",,,Greenwich,CT,"Western Connecticut Planning Region",06831,US,"TIGER/Line® dataset from the US Census Bureau",gcod_usslqs9r3h2aaar8,
"180-180 TURN OF RIVER ROAD ",STAMFORD,CT,41.109332,-73.545457,0.99,rooftop,"180 Turn of River Rd",,"Stamford, CT 06905",180,"Turn of River Rd",,,Stamford,CT,"Western Connecticut Planning Region",06905,US,"City of Stamford",gcod_usnj4ayc3fn7wv2332xdbfl6ypsa5,building_centroid
"51-51 SCHUYLER AVENUE",STAMFORD,CT,41.054446,-73.546946,0.99,rooftop,"51 Schuyler Ave",,"Stamford, CT 06902",51,"Schuyler Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usn2npq23h8lrd567x34r595zr932,building_centroid
"200-200 SEASIDE AVENUE",STAMFORD,CT,41.052163,-73.509077,0.99,rooftop,"200 Seaside Ave",,"Stamford, CT 06902",200,"Seaside Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnycqcgtwkxlajb8jw5frlc2qlkd,building_centroid
"83-89 WILLOWBROOK AVENUE",STAMFORD,CT,41.045759,-73.514598,1,rooftop,"83-89 Willowbrook Ave",,"Stamford, CT 06902",83-89,"Willowbrook Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"Connecticut Geospatial Information Systems Council",gcod_usn8znjht2qgk3ke7xerh56qbc6z9,building_centroid
"1186-1186 HOPE STREET",STAMFORD,CT,41.098975,-73.519776,0.99,rooftop,"1186 Hope St",,"Stamford, CT 06907",1186,"Hope St",,,Stamford,CT,"Western Connecticut Planning Region",06907,US,"City of Stamford",gcod_usnfkq23mubsxdk3ht9nu7bylju9e,building_centroid
"186-186 SEASIDE AVENUE",STAMFORD,CT,41.052653,-73.509152,0.99,rooftop,"186 Seaside Ave",,"Stamford, CT 06902",186,"Seaside Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnycqcgtwkxlajbqfpsd79sm98d2,building_centroid
"84-84 WARDWELL STREET",STAMFORD,CT,41.047515,-73.525089,1,rooftop,"84-84 Wardwell St",,"Stamford, CT 06902",84-84,"Wardwell St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"Connecticut Geospatial Information Systems Council",gcod_usnznxfxstds6k2a8xsafvygrwqjb,parcel_centroid
"1 SHORE ROAD ",STAMFORD,CT,41.029799,-73.554865,1,rooftop,"1 Shore Rd",,"Stamford, CT 06902",1,"Shore Rd",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usncr67jbbnw9l8esdv69gg8dg5kf,building_centroid
"43-43 DORA STREET",STAMFORD,CT,41.050786,-73.507485,0.99,rooftop,"43 Dora St",,"Stamford, CT 06902",43,"Dora St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnp6mlbbxmxfp63mr5ujplaaqwv3,building_centroid
"11-11 BELLTOWN ROAD ",STAMFORD,CT,41.076265,-73.530823,0.99,rooftop,"11 Belltown Rd",,"Stamford, CT 06905",11,"Belltown Rd",,,Stamford,CT,"Western Connecticut Planning Region",06905,US,"City of Stamford",gcod_usnpagnzgv8yqnd6mumcz7lrfke96,building_centroid
"0-202 SOUNDVIEW AVENUE ",STAMFORD,CT,41.044228,-73.516578,0.85,rooftop,"202 Soundview Ave",,"Stamford, CT 06902",202,"Soundview Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnrwlbcvx25jmu73caejpdazkeda,building_centroid
"1840-1872 FOURTH STREET ",STAMFORD,CT,41.064801,-73.544958,0.92,rooftop,"18 4th St",,"Stamford, CT 06905",18,"4th St",,,Stamford,CT,"Western Connecticut Planning Region",06905,US,"City of Stamford",gcod_usn5fgynzqgmxlf2btvbhqu4ub7ph,building_centroid
"143-143 HOYT STREET ",STAMFORD,CT,41.060428,-73.53461,0.99,rooftop,"143 Hoyt St",,"Stamford, CT 06905",143,"Hoyt St",,,Stamford,CT,"Western Connecticut Planning Region",06905,US,"City of Stamford",gcod_usnewunawf6335f2chabr2c3su872,building_centroid
"68-68 HOPE STREET ",STAMFORD,CT,41.063121,-73.526899,1,rooftop,"68-68 Hope St",,"Stamford, CT 06906",68-68,"Hope St",,,Stamford,CT,"Western Connecticut Planning Region",06906,US,"Connecticut Geospatial Information Systems Council",gcod_usnbl6a8pggekw4763sd3ayl7mtl3,building_centroid
"0-2539 BEDFORD STREET ",STAMFORD,CT,41.070776,-73.544394,0.85,rooftop,"2539 Bedford St",,"Stamford, CT 06905",2539,"Bedford St",,,Stamford,CT,"Western Connecticut Planning Region",06905,US,"City of Stamford",gcod_usnxgapvae5gwy5ds6pd4yxwqh3t6,building_centroid
"2435-2539 BEDFORD STREET",STAMFORD,CT,41.070476,-73.541911,0.99,rooftop,"2435 Bedford St",,"Stamford, CT 06905",2435,"Bedford St",,,Stamford,CT,"Western Connecticut Planning Region",06905,US,"City of Stamford",gcod_usnxgapvae5gwy5dejl3dbcr363kd,building_centroid
"167-167 GROVE STREET ",STAMFORD,CT,41.059664,-73.533222,0.99,rooftop,"167 Grove St",,"Stamford, CT 06901",167,"Grove St",,,Stamford,CT,"Western Connecticut Planning Region",06901,US,"City of Stamford",gcod_usny824txz5fhuw568jlsch438sr5,building_centroid
"2475-2475 SUMMER STREET ",STAMFORD,CT,41.068574,-73.54716,0.99,rooftop,"2475 Summer St",,"Stamford, CT 06905",2475,"Summer St",,,Stamford,CT,"Western Connecticut Planning Region",06905,US,"City of Stamford",gcod_usnfhzebygqbquk7q7u9kjzpksb6h,building_centroid
"19-19 COLONIAL ROAD ",STAMFORD,CT,41.071267,-73.525558,1,rooftop,"19-19 Colonial Rd",,"Stamford, CT 06906",19-19,"Colonial Rd",,,Stamford,CT,"Western Connecticut Planning Region",06906,US,"Connecticut Geospatial Information Systems Council",gcod_usn8bhnwwt3w4a5hwxqygahtdk835,building_centroid
"44-44 COLUMBUS PLACE ",STAMFORD,CT,41.097744,-73.514426,0.99,rooftop,"44 Columbus Pl",,"Stamford, CT 06907",44,"Columbus Pl",,,Stamford,CT,"Western Connecticut Planning Region",06907,US,"City of Stamford",gcod_usn2g5ngj4eyywghhvpan7pvbw592,building_centroid
"45-45 DORA STREET ",STAMFORD,CT,41.050962,-73.507503,0.99,rooftop,"45 Dora St",,"Stamford, CT 06902",45,"Dora St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnp6mlbbxmxfp63jb8kvghayp7m7,building_centroid
"18-18 COURT STREET ",STAMFORD,CT,41.061156,-73.545106,1,rooftop,"18 Court St",,"Stamford, CT 06902",18,"Court St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnyj3kdhjqtd6ndcdt5xp744jn4h,building_centroid
"33-39 ORANGE STREET ",STAMFORD,CT,41.054626,-73.519738,1,rooftop,"33-39 Orange St",,"Stamford, CT 06902",33-39,"Orange St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"Connecticut Geospatial Information Systems Council",gcod_usnwse9esdp32nwgkptbj23flmnp6,building_centroid
"463-463 COVE ROAD",STAMFORD,CT,41.048759,-73.5171,0.99,rooftop,"463 Cove Rd",,"Stamford, CT 06902",463,"Cove Rd",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnj2vkuspefctve9ns3mjcmkrrhe,building_centroid
"235-235 COVE ROAD",STAMFORD,CT,41.049305,-73.520046,1,rooftop,"235-235 Cove Rd",,"Stamford, CT 06902",235-235,"Cove Rd",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"Connecticut Geospatial Information Systems Council",gcod_usnj2vkuspefctve3epcxg5rg58q3,parcel_centroid
"20-20 DALY STREET",STAMFORD,CT,41.054399,-73.528173,1,rooftop,"20-20 Daly St",,"Stamford, CT 06902",20-20,"Daly St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"Connecticut Geospatial Information Systems Council",gcod_usnxmknfvdmlpphc89e59c7blheng,building_centroid
"3-9 DORA STREET",STAMFORD,CT,41.050437,-73.507597,1,rooftop,"39 Dora St",,"Stamford, CT 06902",39,"Dora St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnp6mlbbxmxfp63jp5mg6l82ewl4,building_centroid
"158-158 SEASIDE AVENUE",STAMFORD,CT,41.053645,-73.509206,1,rooftop,"158-158 Seaside Ave",,"Stamford, CT 06902",158-158,"Seaside Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"Connecticut Geospatial Information Systems Council",gcod_usnycqcgtwkxlajbkw75gfh9e2ak3,building_centroid
"30-30 ELMCROFT ROAD",STAMFORD,CT,41.040571,-73.536601,0.99,rooftop,"30 Elmcroft Rd",,"Stamford, CT 06902",30,"Elmcroft Rd",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usn2axfruhv9wwjcsnun4rs25ntw5,building_centroid
"8-8 WARDWELL STREET",STAMFORD,CT,41.049095,-73.525736,0.85,rooftop,"8 Wardwell St",,"Stamford, CT 06902",8,"Wardwell St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnznxfxstds6k2ab7gt8z2n8lru8,building_centroid
"50-50 NORTH STREET",STAMFORD,CT,41.058765,-73.544558,0.99,rooftop,"50 North St",,"Stamford, CT 06902",50,"North St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnbsvcnnmtgsabg8psz9urpbp9t8,building_centroid
"1084-1106 EAST MAIN STREET #MAIN",STAMFORD,CT,41.057687,-73.516046,0.99,rooftop,"1084 E Main St",#,"Stamford, CT 06902",1084,"E Main St",#,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usntvhz3k7qw38ehxslg5y8w3wwy2,building_centroid
"10-10 FOREST LAWN AVENUE",STAMFORD,CT,41.06874,-73.549516,1,rooftop,"10-10 Forest Lawn Ave",,"Stamford, CT 06905",10-10,"Forest Lawn Ave",,,Stamford,CT,"Western Connecticut Planning Region",06905,US,"Connecticut Geospatial Information Systems Council",gcod_usn57kjl6vleedl4p9bftsvj3yrac,building_centroid
"44 PLEASANT STREET",STAMFORD,CT,41.055933,-73.532203,1,rooftop,"44 Pleasant St",,"Stamford, CT 06901",44,"Pleasant St",,,Stamford,CT,"Western Connecticut Planning Region",06901,US,"City of Stamford",gcod_usnzzyq8uwa6cdh827ae56lc26663,building_centroid
"60-60 SEASIDE AVENUE",STAMFORD,CT,41.056909,-73.5103,0.99,rooftop,"60 Seaside Ave",,"Stamford, CT 06902",60,"Seaside Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnycqcgtwkxlajbq7f6uz2y27ybc,building_centroid
"49-115 TOP GALLANT ROAD",STAMFORD,CT,41.031628,-73.550225,0.99,rooftop,"49 Top Gallant Rd",,"Stamford, CT 06902",49,"Top Gallant Rd",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usn4ee559xmh86h5w82m55bptbshg,building_centroid
"141-141 GROVE STREET",STAMFORD,CT,41.058619,-73.533506,1,rooftop,"141-141 Grove St",,"Stamford, CT 06901",141-141,"Grove St",,,Stamford,CT,"Western Connecticut Planning Region",06901,US,"Connecticut Geospatial Information Systems Council",gcod_usnyw6nvzwp3dqcbmblnbf2sy5t6e,building_centroid
"428-436 COURTLAND AVENUE",STAMFORD,CT,41.072395,-73.518031,1,rooftop,"428 Courtland Ave",,"Stamford, CT 06906",428,"Courtland Ave",,,Stamford,CT,"Western Connecticut Planning Region",06906,US,"City of Stamford",gcod_usnzzfbegep32a49wt2mhx7d4mey5,building_centroid
"77-77 GLENBROOK ROAD",STAMFORD,CT,41.057893,-73.528475,0.99,rooftop,"77 Glenbrook Rd",,"Stamford, CT 06902",77,"Glenbrook Rd",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnqrk9rbqbd8lvetfavnyvk7u6e7,building_centroid
"48-48 UNION STREET",STAMFORD,CT,41.07458,-73.521271,0.99,rooftop,"48 Union St",,"Stamford, CT 06906",48,"Union St",,,Stamford,CT,"Western Connecticut Planning Region",06906,US,"City of Stamford",gcod_usnh28s5xzeva46dhjly9nkps2qyc,building_centroid
"0-0 MAPLE TREE AVENUE",STAMFORD,CT,41.072115,-73.511294,1,street_center,"Maple Tree Ave",,"Stamford, CT 06906",,"Maple Tree Ave",,,Stamford,CT,"Western Connecticut Planning Region",06906,US,"TIGER/Line® dataset from the US Census Bureau",gcod_usslpm6xtnxdrsme,
"35-35 MAPLE TREE AVENUE",STAMFORD,CT,41.07132,-73.514728,0.99,rooftop,"35 Maple Tree Ave",,"Stamford, CT 06906",35,"Maple Tree Ave",,,Stamford,CT,"Western Connecticut Planning Region",06906,US,"City of Stamford",gcod_usnlpm6xtnxdrsmeaytx24g4h6xe7,building_centroid
"1900-1900 SUMMER STREET",STAMFORD,CT,41.065589,-73.544646,1,rooftop,"1900-1900 Summer St",,"Stamford, CT 06905",1900-1900,"Summer St",,,Stamford,CT,"Western Connecticut Planning Region",06905,US,"Connecticut Geospatial Information Systems Council",gcod_usnfhzebygqbquk72h9wpw6ntgseh,building_centroid
"101-101 GROVE STREET",STAMFORD,CT,41.057465,-73.533637,1,rooftop,"101-101 Grove St",,"Stamford, CT 06901",101-101,"Grove St",,,Stamford,CT,"Western Connecticut Planning Region",06901,US,"Connecticut Geospatial Information Systems Council",gcod_usnyw6nvzwp3dqcb4wbmhgz9fy8zb,building_centroid
"23-37 NELSON STREET",STAMFORD,CT,41.037488,-73.528431,1,rooftop,"23-37 Nelson St",,"Stamford, CT 06902",23-37,"Nelson St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"Connecticut Geospatial Information Systems Council",gcod_usn59e97tedlpr69qdzjmkc8xh5s4,building_centroid
"101-101 SEASIDE AVENUE",STAMFORD,CT,41.055459,-73.510321,0.99,rooftop,"101 Seaside Ave",,"Stamford, CT 06902",101,"Seaside Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnycqcgtwkxlajbyryfs2wzyt6fc,building_centroid
"95-95 COLUMBUS PLACE",STAMFORD,CT,41.099212,-73.512856,0.99,rooftop,"95 Columbus Pl",,"Stamford, CT 06907",95,"Columbus Pl",,,Stamford,CT,"Western Connecticut Planning Region",06907,US,"City of Stamford",gcod_usn2g5ngj4eyywghpn79rdlcfvh34,building_centroid
"135-135 HIGHVIEW AVENUE",STAMFORD,CT,41.099783,-73.514095,1,rooftop,"135-135 Highview Ave",,"Stamford, CT 06907",135-135,"Highview Ave",,,Stamford,CT,"Western Connecticut Planning Region",06907,US,"Connecticut Geospatial Information Systems Council",gcod_usnftw54ttqqabzd76l5cc5sbzyvg,building_centroid
"45-45 HIGHVIEW AVENUE",STAMFORD,CT,41.097025,-73.515453,1,rooftop,"45-45 Highview Ave",,"Stamford, CT 06907",45-45,"Highview Ave",,,Stamford,CT,"Western Connecticut Planning Region",06907,US,"Connecticut Geospatial Information Systems Council",gcod_usnftw54ttqqabzdef2yzvwt4lcgd,building_centroid
"42-42 HIGHVIEW AVENUE",STAMFORD,CT,41.097053,-73.516395,0.99,rooftop,"42 Highview Ave",,"Stamford, CT 06907",42,"Highview Ave",,,Stamford,CT,"Western Connecticut Planning Region",06907,US,"City of Stamford",gcod_usnftw54ttqqabzdwrd8gxnqt4qt4,building_centroid
"10-10 HOOVER AVENUE",STAMFORD,CT,41.071675,-73.551023,1,rooftop,"10-10 Hoover Ave",,"Stamford, CT 06905",10-10,"Hoover Ave",,,Stamford,CT,"Western Connecticut Planning Region",06905,US,"Connecticut Geospatial Information Systems Council",gcod_usnpjezpkdbj736eysrkkz2qg86g2,building_centroid
"1307-1307 HOPE STREET",STAMFORD,CT,41.101785,-73.516224,0.99,rooftop,"1307 Hope St",,"Stamford, CT 06907",1307,"Hope St",,,Stamford,CT,"Western Connecticut Planning Region",06907,US,"City of Stamford",gcod_usnfkq23mubsxdk3jqj83bs363lb9,building_centroid
"16-16 HOUSTON TERRACE",STAMFORD,CT,41.059369,-73.509107,1,rooftop,"16-16 Houston Ter",,"Stamford, CT 06902",16-16,"Houston Ter",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"Connecticut Geospatial Information Systems Council",gcod_usntbbumtvbfv2w4zbhyry2kqcrwf,parcel_centroid
"125-125 PROSPECT STREET",STAMFORD,CT,41.05948,-73.534233,0.99,rooftop,"125 Prospect St",,"Stamford, CT 06901",125,"Prospect St",,,Stamford,CT,"Western Connecticut Planning Region",06901,US,"City of Stamford",gcod_usnkqypk4mt5wepavjc4nqcrxu79g,building_centroid
"22-22 KNAPP STREET",STAMFORD,CT,41.094084,-73.519406,0.99,rooftop,"22 Knapp St",,"Stamford, CT 06907",22,"Knapp St",,,Stamford,CT,"Western Connecticut Planning Region",06907,US,"City of Stamford",gcod_usnej5ctgvyx3qqbnkmkxeqyrvvp6,building_centroid
"7 WOODROW STREET",STAMFORD,CT,41.051541,-73.521137,1,rooftop,"7 Woodrow St",,"Stamford, CT 06902",7,"Woodrow St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnet5y2bj5zcsy8l2bc6hltspvad,building_centroid
"116 ROCK SPRING ROAD",STAMFORD,CT,41.068076,-73.528987,1,rooftop,"116 Rock Spring Rd",,"Stamford, CT 06906",116,"Rock Spring Rd",,,Stamford,CT,"Western Connecticut Planning Region",06906,US,"City of Stamford",gcod_usnbwrg3jsgljk7fdv6lzn4drpq2g,building_centroid
"134 WEST AVENUE",STAMFORD,CT,41.048989,-73.557577,1,rooftop,"134 West Ave",,"Stamford, CT 06902",134,"West Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnkkg6732v69cpgzqxdzknghpsd4,building_centroid
"34 CASCADE ROAD",STAMFORD,CT,41.139245,-73.542249,1,rooftop,"34 Cascade Rd",,"Stamford, CT 06903",34,"Cascade Rd",,,Stamford,CT,"Western Connecticut Planning Region",06903,US,"City of Stamford",gcod_usnfe84g9tsb6bc63yae2nxagkcz8,building_centroid
"1802 BEDFORD STREET ",STAMFORD,CT,41.066153,-73.542414,1,rooftop,"1802 Bedford St",,"Stamford, CT 06905",1802,"Bedford St",,,Stamford,CT,"Western Connecticut Planning Region",06905,US,"City of Stamford",gcod_usnxgapvae5gwy5dbb26r7usb3rg9,building_centroid
"21 CHESTNUT STREET",STAMFORD,CT,41.057515,-73.548816,1,rooftop,"21 Chestnut St",,"Stamford, CT 06902",21,"Chestnut St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnhqk3aanp2vbacna4tr27dm6yy3,building_centroid
"28 AVERY STREET",STAMFORD,CT,41.047915,-73.50938,1,rooftop,"28 Avery St",,"Stamford, CT 06902",28,"Avery St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnuaplnu8n8pqcctchea3qm74322,building_centroid
"83 MORGAN STREET ",STAMFORD,CT,41.064771,-73.537845,1,rooftop,"83 Morgan St",,"Stamford, CT 06905",83,"Morgan St",,,Stamford,CT,"Western Connecticut Planning Region",06905,US,"City of Stamford",gcod_usndzer39anp6csbjgbjujbqn8jag,building_centroid
"160  GLENBROOK ROAD  #2D",STAMFORD,CT,41.059853,-73.527,1,rooftop,"160 Glenbrook Rd","Unit 2D","Stamford, CT 06902",160,"Glenbrook Rd",Unit,2D,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnqrk9rbqbd8lvev57snanhyhpv8-vwag6mbbl57he,building_centroid
"400 STAMFORD AVENUE",STAMFORD,CT,41.020382,-73.523775,1,rooftop,"400 Stamford Ave",,"Stamford, CT 06902",400,"Stamford Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usn4pnszm82fp5r5zfk7ykc3n93y7,building_centroid
"42 DYKE LANE",STAMFORD,CT,41.038689,-73.54038,1,rooftop,"42 Dyke Ln",,"Stamford, CT 06902",42,"Dyke Ln",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usns37r3fkb79xudpv4pvfy7cf9f5,building_centroid
"305 HUBBARD AVENUE",STAMFORD,CT,41.066666,-73.552943,1,rooftop,"305 Hubbard Ave",,"Stamford, CT 06905",305,"Hubbard Ave",,,Stamford,CT,"Western Connecticut Planning Region",06905,US,"City of Stamford",gcod_usnqn6nn8c7punefqjmtx5lnsg7v4,building_centroid
"49 PLEASANT STREET",STAMFORD,CT,41.056235,-73.531653,1,rooftop,"49 Pleasant St",,"Stamford, CT 06901",49,"Pleasant St",,,Stamford,CT,"Western Connecticut Planning Region",06901,US,"City of Stamford",gcod_usnzzyq8uwa6cdh8xxzv32u5935h4,building_centroid
"380 SCOFIELDTOWN ROAD",STAMFORD,CT,41.128937,-73.557446,1,rooftop,"380 Scofieldtown Rd",,"Stamford, CT 06903",380,"Scofieldtown Rd",,,Stamford,CT,"Western Connecticut Planning Region",06903,US,"City of Stamford",gcod_usnvtt7l8g4g3erhcv8jrhw32cyf4,building_centroid
"85 OLD LONG RIDGE ROAD",STAMFORD,CT,41.144478,-73.589021,1,rooftop,"85 Old Long Ridge Rd",,"Stamford, CT 06903",85,"Old Long Ridge Rd",,,Stamford,CT,"Western Connecticut Planning Region",06903,US,"City of Stamford",gcod_usnmwkpcx79yr7me2fmt92kpsdtn6,building_centroid
"85 OLD LONG RIDGE ROAD",STAMFORD,CT,41.144478,-73.589021,1,rooftop,"85 Old Long Ridge Rd",,"Stamford, CT 06903",85,"Old Long Ridge Rd",,,Stamford,CT,"Western Connecticut Planning Region",06903,US,"City of Stamford",gcod_usnmwkpcx79yr7me2fmt92kpsdtn6,building_centroid
"85 OLD LONG RIDGE ROAD",STAMFORD,CT,41.144478,-73.589021,1,rooftop,"85 Old Long Ridge Rd",,"Stamford, CT 06903",85,"Old Long Ridge Rd",,,Stamford,CT,"Western Connecticut Planning Region",06903,US,"City of Stamford",gcod_usnmwkpcx79yr7me2fmt92kpsdtn6,building_centroid
"85 OLD LONG RIDGE ROAD",STAMFORD,CT,41.144478,-73.589021,1,rooftop,"85 Old Long Ridge Rd",,"Stamford, CT 06903",85,"Old Long Ridge Rd",,,Stamford,CT,"Western Connecticut Planning Region",06903,US,"City of Stamford",gcod_usnmwkpcx79yr7me2fmt92kpsdtn6,building_centroid
"85 OLD LONG RIDGE ROAD",STAMFORD,CT,41.144478,-73.589021,1,rooftop,"85 Old Long Ridge Rd",,"Stamford, CT 06903",85,"Old Long Ridge Rd",,,Stamford,CT,"Western Connecticut Planning Region",06903,US,"City of Stamford",gcod_usnmwkpcx79yr7me2fmt92kpsdtn6,building_centroid
"85 OLD LONG RIDGE ROAD",STAMFORD,CT,41.144478,-73.589021,1,rooftop,"85 Old Long Ridge Rd",,"Stamford, CT 06903",85,"Old Long Ridge Rd",,,Stamford,CT,"Western Connecticut Planning Region",06903,US,"City of Stamford",gcod_usnmwkpcx79yr7me2fmt92kpsdtn6,building_centroid
"85 OLD LONG RIDGE ROAD",STAMFORD,CT,41.144478,-73.589021,1,rooftop,"85 Old Long Ridge Rd",,"Stamford, CT 06903",85,"Old Long Ridge Rd",,,Stamford,CT,"Western Connecticut Planning Region",06903,US,"City of Stamford",gcod_usnmwkpcx79yr7me2fmt92kpsdtn6,building_centroid
"85 OLD LONG RIDGE ROAD",STAMFORD,CT,41.144478,-73.589021,1,rooftop,"85 Old Long Ridge Rd",,"Stamford, CT 06903",85,"Old Long Ridge Rd",,,Stamford,CT,"Western Connecticut Planning Region",06903,US,"City of Stamford",gcod_usnmwkpcx79yr7me2fmt92kpsdtn6,building_centroid
"85 OLD LONG RIDGE ROAD",STAMFORD,CT,41.144478,-73.589021,1,rooftop,"85 Old Long Ridge Rd",,"Stamford, CT 06903",85,"Old Long Ridge Rd",,,Stamford,CT,"Western Connecticut Planning Region",06903,US,"City of Stamford",gcod_usnmwkpcx79yr7me2fmt92kpsdtn6,building_centroid
"85 OLD LONG RIDGE ROAD",STAMFORD,CT,41.144478,-73.589021,1,rooftop,"85 Old Long Ridge Rd",,"Stamford, CT 06903",85,"Old Long Ridge Rd",,,Stamford,CT,"Western Connecticut Planning Region",06903,US,"City of Stamford",gcod_usnmwkpcx79yr7me2fmt92kpsdtn6,building_centroid
"85 OLD LONG RIDGE ROAD",STAMFORD,CT,41.144478,-73.589021,1,rooftop,"85 Old Long Ridge Rd",,"Stamford, CT 06903",85,"Old Long Ridge Rd",,,Stamford,CT,"Western Connecticut Planning Region",06903,US,"City of Stamford",gcod_usnmwkpcx79yr7me2fmt92kpsdtn6,building_centroid
"85 OLD LONG RIDGE ROAD",STAMFORD,CT,41.144478,-73.589021,1,rooftop,"85 Old Long Ridge Rd",,"Stamford, CT 06903",85,"Old Long Ridge Rd",,,Stamford,CT,"Western Connecticut Planning Region",06903,US,"City of Stamford",gcod_usnmwkpcx79yr7me2fmt92kpsdtn6,building_centroid
